id,category,complexity,characteristics,status,task_count,tasks_success,tasks_failed,verdicts_pass,verdicts_fail,elapsed_compile_s,elapsed_execute_s,elapsed_critic_s,elapsed_total_s,api_calls,tokens,error
P01,Web Research & Summarization,Simple,Linear,success,2,1,1,1,1,40.9,86.8,7.0,134.7,7,5237,
P02,Web Research & Summarization,Simple,Linear,success,2,1,1,1,1,3.1,32.0,6.3,41.4,5,3007,
P03,Web Research & Summarization,Medium,Linear,failure,0,0,0,0,0,13.9,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
P04,Web Research & Summarization,Medium,Parallel,success,2,1,1,1,1,15.2,30.3,7.6,53.1,7,4023,
P05,Data Processing & Computation,Simple,Linear,failure,0,0,0,0,0,17.8,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
P06,Data Processing & Computation,Simple,Linear,success,3,2,1,1,2,21.9,40.1,9.0,71.0,13,6036,
P07,Data Processing & Computation,Medium,Linear,success,2,1,1,1,1,12.3,41.5,7.5,61.4,7,5434,
P08,Data Processing & Computation,Medium,Linear,success,3,2,1,2,1,18.8,36.2,9.0,64.1,11,5650,
P09,API Interaction & HTTP,Simple,Linear,success,2,1,1,0,2,2.5,54.7,7.2,64.4,10,6193,
P10,API Interaction & HTTP,Medium,Linear,failure,0,0,0,0,0,18.7,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
P11,API Interaction & HTTP,Medium,Parallel,failure,0,0,0,0,0,20.8,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
P12,API Interaction & HTTP,Medium,Linear,success,2,2,0,2,0,22.2,51.8,4.5,78.5,10,7775,
P13,File Operations & Text Processing,Simple,Linear,success,3,2,1,1,2,10.9,154.5,9.8,175.2,15,16677,
P14,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,17.2,7.7,0.0,24.9,4,2290,
P15,File Operations & Text Processing,Medium,Linear,success,1,0,1,0,1,16.6,8.8,0.0,25.5,3,1735,
P16,Multi-Step Research & Analysis,Medium,Linear,success,2,1,1,1,1,6.2,45.9,5.4,57.5,7,4620,
P17,Multi-Step Research & Analysis,Complex,Parallel + Linear,success,1,0,1,0,1,10.4,49.4,0.0,59.8,6,4058,
P18,Multi-Step Research & Analysis,Complex,Linear,failure,0,0,0,0,0,2.5,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
P19,Automation Simulation,Simple,Linear,success,2,1,1,1,1,9.1,29.3,0.3,38.7,8,4202,
P20,Automation Simulation,Medium,Linear,success,2,1,1,1,1,2.4,24.2,5.7,32.3,6,2374,
P21,Automation Simulation,Complex,Linear,failure,0,0,0,0,0,16.7,0.0,0.0,0.0,0,0,compile: RuntimeError: Compiler failed after 3 attempts: No tasks generated. The workflow must have at least one task.
